tiro,x,y,z,enceste
4,-76,840,-552,1
4,-80,832,-548,1
4,-76,840,-536,1
4,-76,828,-544,1
4,-84,828,-552,1
4,-72,840,-548,1
4,-76,832,-540,1
4,-84,836,-548,1
4,-76,840,-548,1
4,-80,824,-544,1
4,-72,828,-544,1
4,-64,824,-540,1
4,-68,836,-536,1
4,-80,824,-548,1
4,-76,840,-564,1
4,-80,848,-536,1
4,-96,844,-556,1
4,-88,844,-544,1
4,-80,848,-544,1
4,-88,836,-548,1
4,-76,832,-544,1
4,-76,844,-552,1
4,-80,828,-552,1
4,-88,836,-544,1
4,-72,840,-552,1
4,-84,848,-540,1
4,-80,836,-548,1
4,-84,848,-540,1
4,-72,844,-548,1
4,-68,840,-544,1
4,-76,832,-544,1
4,-84,836,-548,1
4,-80,840,-536,1
4,-76,836,-556,1
4,-72,836,-536,1
4,-80,844,-544,1
4,-72,840,-544,1
4,-84,832,-532,1
4,-76,840,-540,1
4,-76,840,-552,1
4,-72,844,-532,1
4,-72,848,-548,1
4,-76,844,-544,1
4,-76,832,-552,1
4,-88,844,-544,1
4,-88,848,-548,1
4,-80,836,-560,1
4,-76,832,-556,1
4,-84,840,-552,1
4,-100,836,-528,1
4,-92,844,-540,1
4,-84,852,-548,1
4,-96,828,-628,1
4,-52,836,-556,1
4,-104,836,-480,1
4,-184,864,-520,1
5,-64,828,-508,1
5,8,848,-624,1
5,-12,852,-564,1
5,-36,860,-572,1
5,-64,848,-492,1
5,-28,848,-564,1
5,-60,852,-496,1
5,-80,860,-464,1
5,-80,876,-500,1
5,-44,860,-528,1
5,-44,856,-516,1
5,-48,860,-508,1
5,-32,852,-516,1
5,-36,864,-512,1
5,-44,856,-512,1
5,-48,864,-508,1
5,-52,860,-520,1
5,-44,868,-524,1
5,-36,864,-512,1
5,-40,848,-504,1
5,-44,856,-524,1
5,-52,860,-512,1
5,-44,864,-508,1
5,-32,864,-520,1
5,-52,864,-500,1
5,-24,860,-532,1
5,-44,868,-520,1
5,-36,864,-512,1
5,-36,860,-520,1
5,-48,864,-516,1
5,-48,856,-516,1
5,-68,860,-512,1
5,-52,860,-524,1
5,-56,844,-548,1
5,-56,848,-536,1
5,-24,856,-504,1
5,-92,864,-480,1
5,-72,888,-488,1
5,-48,852,-492,1
5,-32,856,-500,1
6,-120,856,-440,1
6,-112,804,-484,1
6,-92,856,-576,1
6,-72,824,-568,1
6,-108,836,-572,1
6,-156,832,-508,1
6,-132,848,-484,1
6,-96,860,-548,1
6,-88,848,-552,1
6,-68,836,-540,1
6,-60,832,-536,1
6,-60,832,-544,1
6,-52,824,-552,1
6,-48,832,-544,1
6,-64,844,-548,1
6,-64,880,-580,1
6,-52,844,-548,1
6,-60,852,-548,1
6,-64,820,-560,1
6,-44,832,-488,1
6,-60,840,-548,1
6,-48,836,-540,1
6,-52,848,-536,1
6,-48,840,-552,1
6,-44,852,-528,1
6,-60,840,-540,1
6,-48,848,-532,1
6,-44,852,-540,1
6,-48,828,-536,1
6,-32,848,-540,1
6,-36,836,-544,1
6,-52,844,-532,1
6,-36,848,-544,1
6,-44,852,-536,1
6,-48,848,-536,1
6,-40,848,-540,1
6,-40,848,-532,1
6,-48,844,-532,1
6,-40,844,-544,1
6,-40,844,-540,1
6,-40,856,-528,1
6,-40,840,-536,1
6,-36,844,-540,1
6,-44,844,-536,1
6,-40,844,-544,1
6,-40,844,-544,1
6,-40,844,-532,1
6,-32,848,-532,1
6,-40,844,-528,1
6,-40,852,-532,1
6,-32,848,-532,1
6,-44,848,-536,1
6,-40,848,-544,1
6,-76,840,-540,1
6,-132,896,-676,1
6,-40,860,-404,1
6,-76,840,-212,1
6,-60,856,-404,1
6,-36,800,-648,1
1,-140,928,-252,1
1,-180,912,-264,1
1,-104,904,-588,1
1,-100,880,-528,1
1,-100,920,-484,1
1,-96,880,-456,1
1,-60,868,-540,1
1,-52,872,-552,1
1,-64,880,-488,1
1,-52,884,-484,1
1,44,784,-496,1
1,-84,900,-280,1
1,-56,884,-408,1
1,-40,884,-472,1
1,-48,900,-460,1
1,-48,896,-456,1
1,-44,892,-460,1
1,-24,880,-488,1
1,-68,896,-444,1
1,-60,860,-464,1
